34
1	4.70	600.00
2	6.20	240.00
3	4.70	420.00
4	4.70	600.00
5	6.20	240.00
6	4.70	420.00
7	6.20	240.00
8	4.70	420.00
9	4.70	600.00
10	4.70	420.00
11	6.20	240.00
12	4.70	600.00
13	4.70	324.00
14	4.70	420.00
15	4.70	324.00
16	4.70	420.00
17	4.70	324.00
18	4.70	420.00
19	4.70	324.00
20	4.70	420.00
21	4.70	600.00
22	4.70	324.00
23	4.70	420.00
24	4.70	324.00
25	4.70	420.00
26	4.70	324.00
27	4.70	420.00
28	4.70	324.00
29	4.70	420.00
30	4.70	600.00
31	6.20	240.00
32	4.70	420.00
33	4.70	600.00
34	4.70	540.00
